especie,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
arroz_c,0,1,7,6,1,4,4,1,1,5,3,8,5,6,3,0,0,0,0,3
arroz_e,1,0,0,1,0,0,8,4,0,3,0,1,8,1,1,0,0,0,1,0
milho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ervilha,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
feijao_preto,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
carioca_c,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
carioca_e,0,0,0,2,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
mac_paraf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
mac_tubo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mac_espag,0,0,0,3,1,0,0,0,6,4,16,9,0,0,0,0,2,2,1,0
